iter	RMSE
0	2.874544092
1	2.734359994
2	2.601411434
3	2.475184497
4	2.355244801
5	2.241566266
6	2.133827463
7	2.031561211
8	1.934674176
9	1.842766552
10	1.755776549
11	1.673262112
12	1.595178899
13	1.520905543
14	1.450986549
15	1.384648417
16	1.321827
17	1.262333381
18	1.206080107
19	1.152911929
20	1.10268649
21	1.055357658
22	1.010598578
23	0.9684659696
24	0.9289178635
25	0.8913450007
26	0.8559756942
27	0.8228686682
28	0.7917244436
29	0.7624250251
30	0.7351476314
31	0.7096533548
32	0.6855930231
33	0.6631595525
34	0.6421250632
35	0.6227395081
36	0.6045616867
37	0.5875855789
38	0.571824829
39	0.5572590148
40	0.5436885251
41	0.5310950237
42	0.5194058918
43	0.5086738986
44	0.4988762048
45	0.4897077315
46	0.4812850844
47	0.473568484
48	0.4664905283
49	0.4599472675
50	0.4540088618
51	0.4485547242
52	0.4434880434
53	0.4388790905
54	0.4346482393
55	0.4307808895
56	0.4272073974
57	0.4240258277
58	0.4210925427
59	0.4184077698
60	0.4161029925
61	0.4138555796
62	0.4117755524
63	0.4098751134
64	0.408119844
65	0.4065497643
66	0.4051328834
67	0.4037993949
68	0.402598091
69	0.4015264265
70	0.40050877
71	0.3996067158
72	0.3987895239
73	0.3980274761
74	0.3973343664
75	0.3966955696
76	0.3961057667
77	0.395576842
78	0.3950672524
79	0.394607336
80	0.3941685323
81	0.3937972662
82	0.3934327596
83	0.393094263
84	0.3927669321
85	0.3925219723
86	0.3922811682
87	0.3920242341
88	0.3917972885
89	0.3915632475
90	0.3914409807
91	0.3912568364
92	0.3910660199
93	0.3909179808
94	0.3907555784
95	0.3905668058
96	0.3904351838
97	0.3902927558
98	0.3901690208
99	0.3900050084
100	0.3898898847
101	0.3897819317
102	0.3896775643
103	0.389577268
104	0.389492604
105	0.3893868605
106	0.3892955808
107	0.3892266885
108	0.389138851
109	0.3890899082
110	0.3890082474
111	0.388938532
112	0.3888691675
113	0.3888029643
114	0.3887393491
115	0.3886723794
116	0.3886095534
117	0.3885542319
118	0.3884950695
119	0.388459046
120	0.3884055991
121	0.3883625351
122	0.388327799
123	0.3882948921
124	0.3882564014
125	0.3881980415
