iter	Passed	Remaining
0	52	42284
1	94	37768
2	154	41062
3	206	41168
4	259	41254
5	296	39275
6	339	38503
7	385	38130
8	414	36468
9	447	35375
10	503	36112
11	543	35693
12	573	34733
13	612	34372
14	651	34099
15	701	34369
16	760	35007
17	792	34408
18	829	34096
19	862	33635
20	919	34093
21	963	34058
22	1013	34249
23	1070	34603
24	1125	34897
25	1171	34866
26	1228	35161
27	1287	35511
28	1339	35602
29	1395	35828
30	1436	35631
31	1486	35681
32	1545	35918
33	1594	35922
34	1641	35886
35	1699	36063
36	1756	36228
37	1811	36318
38	1851	36132
39	1907	36243
40	1962	36330
41	2001	36114
42	2050	36099
43	2111	36282
44	2157	36193
45	2188	35865
46	2214	35484
47	2242	35125
48	2267	34758
49	2293	34401
50	2319	34059
51	2343	33716
52	2368	33382
53	2393	33069
54	2419	32776
55	2444	32472
56	2467	32170
57	2491	31877
58	2516	31605
59	2541	31342
60	2558	30998
61	2584	30758
62	2610	30535
63	2635	30307
64	2658	30058
65	2685	29870
66	2713	29683
67	2739	29486
68	2763	29281
69	2788	29083
70	2813	28886
71	2838	28703
72	2864	28525
73	2889	28349
74	2915	28184
75	2940	28009
76	2963	27830
77	2991	27689
78	3017	27538
79	3044	27400
80	3069	27248
81	3094	27099
82	3121	26964
83	3145	26815
84	3171	26676
85	3197	26547
86	3224	26423
87	3249	26288
88	3274	26160
89	3300	26037
90	3317	25844
91	3341	25718
92	3366	25590
93	3393	25490
94	3422	25397
95	3450	25301
96	3477	25199
97	3502	25090
98	3530	25000
99	3556	24894
100	3581	24789
101	3606	24681
102	3633	24590
103	3658	24484
104	3686	24398
105	3712	24309
106	3737	24206
107	3761	24099
108	3789	24022
109	3818	23955
110	3846	23876
111	3875	23803
112	3902	23727
113	3928	23637
114	3956	23565
115	3987	23514
116	4017	23452
117	4048	23399
118	4087	23391
119	4123	23366
120	4163	23365
121	4195	23313
122	4216	23206
123	4244	23138
124	4271	23066
125	4298	22994
126	4323	22910
127	4346	22821
128	4372	22745
129	4396	22658
130	4420	22576
131	4452	22533
132	4476	22447
133	4503	22381
134	4529	22309
135	4558	22257
136	4602	22275
137	4642	22271
138	4670	22209
139	4695	22136
140	4724	22083
141	4762	22067
142	4801	22060
143	4831	22008
144	4859	21950
145	4890	21906
146	4915	21836
147	4942	21774
148	4966	21701
149	4997	21657
150	5026	21603
151	5053	21545
152	5081	21489
153	5105	21418
154	5133	21359
155	5167	21334
156	5223	21394
157	5277	21442
158	5340	21528
159	5388	21553
160	5426	21539
161	5479	21581
162	5533	21624
163	5575	21621
164	5633	21679
165	5687	21722
166	5736	21743
167	5783	21758
168	5835	21786
169	5891	21832
170	5951	21890
171	6005	21926
172	6043	21905
173	6084	21891
174	6143	21940
175	6205	22001
176	6254	22015
177	6311	22054
178	6364	22081
179	6398	22040
180	6441	22030
181	6495	22056
182	6550	22085
183	6606	22115
184	6664	22154
185	6723	22193
186	6776	22214
187	6818	22195
188	6863	22188
189	6916	22206
190	6968	22219
191	7010	22198
192	7060	22206
193	7117	22232
194	7167	22239
195	7218	22245
196	7271	22256
197	7315	22241
198	7371	22261
199	7407	22221
200	7459	22230
201	7519	22259
202	7581	22295
203	7631	22294
204	7686	22309
205	7740	22320
206	7781	22292
207	7809	22226
208	7857	22218
209	7884	22150
210	7940	22167
211	7990	22161
212	8037	22151
213	8073	22107
214	8118	22090
215	8167	22082
216	8217	22077
217	8257	22045
218	8296	22009
219	8343	21997
220	8390	21983
221	8438	21970
222	8491	21971
223	8527	21928
224	8568	21898
225	8613	21877
226	8669	21884
227	8718	21872
228	8776	21884
229	8832	21890
230	8890	21899
231	8947	21905
232	8998	21898
233	9049	21888
234	9096	21871
235	9149	21865
236	9207	21871
237	9252	21848
238	9299	21828
239	9357	21833
240	9415	21840
241	9469	21834
242	9513	21806
243	9561	21788
244	9617	21786
245	9673	21784
246	9704	21726
247	9745	21692
248	9798	21682
249	9859	21690
250	9912	21680
251	9966	21672
252	10025	21676
253	10078	21665
254	10105	21597
255	10161	21592
256	10215	21583
257	10267	21570
258	10315	21546
259	10369	21536
260	10422	21523
261	10469	21499
262	10515	21470
263	10559	21439
264	10597	21394
265	10644	21368
266	10700	21361
267	10749	21339
268	10799	21317
269	10847	21293
270	10897	21271
271	10927	21213
272	10974	21185
273	11034	21183
274	11089	21170
275	11141	21152
276	11190	21129
277	11241	21108
278	11292	21087
279	11341	21062
280	11392	21041
281	11447	21028
282	11493	20996
283	11551	20988
284	11601	20963
285	11642	20924
286	11689	20893
287	11744	20879
288	11796	20859
289	11839	20820
290	11891	20799
291	11947	20784
292	12006	20775
293	12062	20760
294	12099	20712
295	12154	20695
296	12209	20678
297	12262	20657
298	12320	20643
299	12363	20605
300	12417	20585
301	12480	20580
302	12541	20571
303	12595	20550
304	12650	20531
305	12702	20505
306	12763	20495
307	12818	20475
308	12860	20435
309	12909	20405
310	12959	20377
311	13013	20354
312	13065	20328
313	13127	20318
314	13183	20297
315	13242	20283
316	13290	20249
317	13339	20219
318	13401	20206
319	13449	20173
320	13494	20136
321	13538	20097
322	13581	20056
323	13627	20021
324	13676	19988
325	13735	19971
326	13787	19942
327	13820	19887
328	13875	19863
329	13917	19821
330	13971	19796
331	14014	19755
332	14051	19705
333	14087	19654
334	14120	19599
335	14171	19569
336	14218	19534
337	14279	19517
338	14336	19495
339	14396	19477
340	14454	19457
341	14503	19422
342	14549	19384
343	14596	19349
344	14655	19327
345	14706	19297
346	14747	19251
347	14793	19213
348	14843	19182
349	14896	19153
350	14952	19127
