baseline,n,coverage_manual,coverage_rec,mean_manual,mean_rec,p95_manual,p95_rec,sum_based_improvement_pct,mean_improvement_pct,sla_threshold,sla_violate_rate_manual,sla_violate_rate_rec,environment
BL-1,3,1.0,1.0,1.62178031502602,0.640740993898362,2.959656686335802,1.2666914122877644,60.49150504776711,45.8212245520286,0.25,1.0,1.0,cpk
BL-2,3,1.0,1.0,2.586012332933024,0.640740993898362,3.4305801159236577,1.2666914122877644,75.22281755046228,78.35505064417934,0.25,1.0,1.0,cpk
BL-3,3,1.0,1.0,1.389351452778404,0.640740993898362,2.5814497074345124,1.2666914122877644,53.8820078521516,45.964582375199086,0.25,1.0,1.0,cpk
BL-auto,3,1.0,1.0,0.7399680377760282,0.640740993898362,1.3018963410519062,1.2666914122877644,13.409639175212584,17.700080462930583,0.25,1.0,1.0,cpk
BL-1,15,1.0,1.0,0.5795146788548057,0.4275691773509606,1.6420887776301234,1.2958196149207646,26.21943965321268,31.707333815250585,0.25,0.6666666666666666,0.4666666666666667,lpk
BL-2,15,1.0,1.0,0.6347711240407079,0.4275691773509606,1.823138004250357,1.2958196149207646,32.64199312829161,29.36734311199761,0.25,0.6,0.4666666666666667,lpk
BL-3,15,1.0,1.0,0.5041498529026285,0.4275691773509606,1.510333891271147,1.2958196149207646,15.19006206403845,12.233244199369253,0.25,0.4666666666666667,0.4666666666666667,lpk
BL-auto,15,1.0,1.0,0.5266203651437535,0.4275691773509606,1.537962722184601,1.2958196149207646,18.80884112139388,22.033997243126414,0.25,0.6,0.4666666666666667,lpk
BL-1,15,1.0,1.0,3.1638526207456987,0.7482186406229933,9.132875325996418,2.3150949966162417,76.35102736085592,55.035902614765405,0.25,0.8,0.6,lrk
BL-2,15,1.0,1.0,5.018936905326942,0.7482186406229933,15.27373360553756,2.3150949966162417,85.09208912690539,59.85922091513703,0.25,0.7333333333333333,0.6,lrk
BL-3,15,1.0,1.0,2.340594992538293,0.7482186406229933,7.163816491328178,2.3150949966162417,68.03297268394238,52.5667796504127,0.25,0.7333333333333333,0.6,lrk
BL-auto,15,1.0,1.0,1.0764686052997907,0.7482186406229933,3.2592777187935966,2.3150949966162417,30.493222288204265,32.23947450194104,0.25,0.7333333333333333,0.6,lrk
